added_route_id,trip_id
743,60399971
741,60399973
742,60399973
743,60399973
741,60399975
742,60399975
743,60399975
741,60399977
742,60399977
743,60399977
741,60399979
742,60399979
743,60399979
741,60399981
742,60399981
743,60399981
741,60399983
742,60399983
743,60399983
741,60399985
742,60399985
743,60399985
741,60399987
742,60399987
743,60399987
741,60399989
742,60399989
743,60399989
741,60399991
742,60399991
743,60399991
741,60399993
742,60399993
743,60399993
741,60399995
742,60399995
743,60399995
741,60399997
742,60399997
743,60399997
741,60399999
742,60399999
743,60399999
741,60400001
742,60400001
743,60400001
741,60400003
742,60400003
743,60400003
741,60400005
742,60400005
743,60400005
741,60400007
742,60400007
743,60400007
741,60400009
742,60400009
743,60400009
741,60400011
742,60400011
743,60400011
741,60400013
742,60400013
743,60400013
741,60400015
742,60400015
743,60400015
741,60400017
742,60400017
743,60400017
741,60400019
742,60400019
743,60400019
741,60400021
742,60400021
743,60400021
741,60400023
742,60400023
743,60400023
741,60400024
742,60400024
743,60400024
741,60400027
742,60400027
743,60400027
741,60400029
742,60400029
743,60400029
741,60400031
742,60400031
743,60400031
741,60400033
742,60400033
743,60400033
741,60400034
742,60400034
743,60400034
741,60400101
742,60400101
743,60400101
741,60400581
742,60400581
743,60400581
741,60400582
742,60400582
743,60400582
741,60400583
742,60400583
743,60400583
741,60400752
742,60400752
743,60400752
741,60400754
742,60400754
743,60400754
741,60400759
742,60400759
743,60400759
741,60400951
742,60400951
743,60400951
741,60400952
742,60400952
743,60400952
741,60400953
742,60400953
743,60400953
741,60400954
742,60400954
743,60400954
741,60400957
742,60400957
743,60400957
741,60400958
742,60400958
743,60400958
741,60400975
742,60400975
743,60400975
741,60400981
742,60400981
743,60400981
741,60400982
742,60400982
743,60400982
741,60400983
742,60400983
743,60400983
741,60400999
742,60400999
743,60400999
741,60401002
742,60401002
743,60401002
741,60110875
742,60110875
743,60110875
741,60110876
742,60110876
743,60110876
741,60110879
742,60110879
743,60110879
741,60110881
742,60110881
743,60110881
741,60110883
742,60110883
743,60110883
741,60110885
742,60110885
743,60110885
741,60110886
742,60110886
743,60110886
741,60110888
742,60110888
743,60110888
741,60110891
742,60110891
743,60110891
741,60110893
742,60110893
743,60110893
741,60110895
742,60110895
743,60110895
741,60110896
742,60110896
743,60110896
741,60110898
742,60110898
743,60110898
741,60110900
742,60110900
743,60110900
741,60110902
742,60110902
743,60110902
741,60110904
742,60110904
743,60110904
741,60110906
742,60110906
743,60110906
741,60110908
742,60110908
743,60110908
741,60110910
742,60110910
743,60110910
741,60110912
742,60110912
743,60110912
741,60110914
742,60110914
743,60110914
741,60110916
742,60110916
743,60110916
741,60110918
742,60110918
743,60110918
741,60110920
742,60110920
743,60110920
741,60111264
742,60111264
743,60111264
741,60111265
742,60111265
743,60111265
741,60111266
742,60111266
743,60111266
741,60111267
742,60111267
743,60111267
741,60111739
742,60111739
743,60111739
741,60111740
742,60111740
743,60111740
741,60111741
742,60111741
743,60111741
741,60111769
742,60111769
743,60111769
741,60111770
742,60111770
743,60111770
741,60111771
742,60111771
743,60111771
741,60111772
742,60111772
743,60111772
741,60111773
742,60111773
743,60111773
741,60111774
742,60111774
743,60111774
741,60111793
742,60111793
743,60111793
741,60121170
742,60121170
743,60121170
741,60121177
742,60121177
743,60121177
741,60121179
742,60121179
743,60121179
741,60121181
742,60121181
743,60121181
741,60121182
742,60121182
743,60121182
741,60121183
742,60121183
743,60121183
741,60121185
742,60121185
743,60121185
741,60121188
742,60121188
743,60121188
741,60121194
742,60121194
743,60121194
741,60397066
742,60397066
743,60397066
741,60397067
742,60397067
743,60397067
741,60397068
742,60397068
743,60397068
741,60397071
742,60397071
743,60397071
741,60397073
742,60397073
743,60397073
741,60397075
742,60397075
743,60397075
741,60397077
742,60397077
743,60397077
741,60397079
742,60397079
743,60397079
741,60397081
742,60397081
743,60397081
741,60397082
742,60397082
743,60397082
741,60397084
742,60397084
743,60397084
741,60397087
742,60397087
743,60397087
741,60397089
742,60397089
743,60397089
741,60397091
742,60397091
743,60397091
741,60397093
742,60397093
743,60397093
741,60397095
742,60397095
743,60397095
741,60397097
742,60397097
743,60397097
741,60397099
742,60397099
743,60397099
741,60397101
742,60397101
743,60397101
741,60397103
742,60397103
743,60397103
741,60397105
742,60397105
743,60397105
741,60397107
742,60397107
743,60397107
741,60397109
742,60397109
743,60397109
741,60397111
742,60397111
743,60397111
741,60397113
742,60397113
743,60397113
741,60397115
742,60397115
743,60397115
741,60397118
742,60397118
743,60397118
741,60397119
742,60397119
743,60397119
741,60397121
742,60397121
