trip_id,trip_property_id,value
60378625,note,Waits at Forest Hills for last Orange Line train
60378625,trip_type,wait
60378974,note,Waits at Ashmont for last Red Line train
60378974,trip_type,wait
60379006,note,Waits at Forest Hills for last Orange Line train
60379006,trip_type,wait
60392680,note,Waits at South Station for last Silver Line bus
60392680,note,Waits at Downtown Crossing for last Orange Line train
60392680,note,Waits at Park Street for last Green Line train
60392680,trip_type,wait
60392683,note,Waits at Park Street for last Green Line train
60392683,note,Waits at Downtown Crossing for last Orange Line train
60392683,trip_type,wait
60392839,note,Waits at Park Street for last Green Line train
60392839,note,Waits at Downtown Crossing for last Orange Line train
60392839,trip_type,wait
60392843,note,Waits at South Station for last Silver Line bus
60392843,note,Waits at Downtown Crossing for last Red Line train
60392843,note,Waits at Park Street for last Green Line train
60392843,trip_type,wait
60393220,note,Waits at South Station for last Silver Line bus
60393220,note,Waits at Downtown Crossing for last Red Line train
60393220,note,Waits at Park Street for last Green Line train
60393220,trip_type,wait
60393221,note,Waits at Park Street for last Green Line train
60393221,note,Waits at Downtown Crossing for last Orange Line train
60393221,trip_type,wait
60393365,note,Waits at Park Street for last Green Line train
60393365,note,Waits at Downtown Crossing for last Orange Line train
60393365,trip_type,wait
60393369,note,Waits at South Station for last Silver Line bus
60393369,note,Waits at Downtown Crossing for last Red Line train
60393369,note,Waits at Park Street for last Green Line train
60393369,trip_type,wait
60393746,note,Waits at South Station for last Silver Line bus
60393746,note,Waits at Downtown Crossing for last Red Line train
60393746,note,Waits at Park Street for last Green Line train
60393746,trip_type,wait
60393747,note,Waits at Park Street for last Green Line train
60393747,note,Waits at Downtown Crossing for last Orange Line train
60393747,trip_type,wait
60393879,note,Waits at Park Street for last Green Line train
60393879,note,Waits at Downtown Crossing for last Orange Line train
60393879,trip_type,wait
60393946,note,Waits at South Station for last Silver Line bus
60393946,note,Waits at Downtown Crossing for last Red Line train
60393946,note,Waits at Park Street for last Green Line train
60393946,trip_type,wait
60396799,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
60396799,trip_type,wait
60396929,note,Waits at Mattapan for last Mattapan Trolley train
60396929,trip_type,wait
60396949,note,Waits at Ruggles for last Orange Line train
60396949,trip_type,wait
60397180,note,Waits at South Station for last Red Line train
60397180,trip_type,wait
60397485,note,Waits at Back Bay for last Orange Line train
60397485,trip_type,wait
60397680,note,Waits at South Station for last Red Line train
60397680,trip_type,wait
60399704,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
60399704,trip_type,wait
60399835,note,Waits at Mattapan for last Mattapan Trolley train
60399835,trip_type,wait
60399855,note,Waits at Ruggles for last Orange Line train
60399855,trip_type,wait
60400086,note,Waits at South Station for last Red Line train
60400086,trip_type,wait
60400391,note,Waits at Back Bay for last Orange Line train
60400391,trip_type,wait
60400585,note,Waits at South Station for last Red Line train
60400585,trip_type,wait
60405875,note,Waits at Park Street for last Green Line train
60405875,note,Waits at Downtown Crossing for last Orange Line train
60405875,trip_type,wait
60405936,note,Waits at South Station for last Silver Line bus
60405936,note,Waits at Downtown Crossing for last Orange Line train
60405936,note,Waits at Park Street for last Green Line train
60405936,trip_type,wait
60410890,note,Waits at Sullivan Square for last Orange Line train
60410890,trip_type,wait
60410978,note,Waits at Malden Center for last Orange Line train
60410978,trip_type,wait
60411185,note,Waits at Sullivan Square for last Orange Line train
60411185,trip_type,wait
60411378,note,Waits at Sullivan Square for last Orange Line train
60411378,trip_type,wait
60411579,note,Waits at Surface Rd @ Hanover St for last Orange Line and Green Line trains
60411579,trip_type,wait
60411617,note,Waits at Wellington for last Orange Line train
60411617,trip_type,wait
60411655,note,Waits at Harvard for last Red Line train
60411655,trip_type,wait
60412751,note,Waits at Harvard for last Red Line train
60412751,trip_type,wait
60413051,note,Waits at Surface Rd @ Hanover St for last Orange Line and Green Line trains
60413051,trip_type,wait
60413300,note,Waits at Sullivan Square for last Orange Line train
60413300,trip_type,wait
60413301,note,Waits at Sullivan Square for last Orange Line train
60413301,trip_type,wait
60413302,note,Waits at Sullivan Square for last Orange Line train
60413302,trip_type,wait
60413348,note,Waits at Wellington for last Orange Line train
60413348,trip_type,wait
60413349,note,Waits at Wellington for last Orange Line train
60413349,trip_type,wait
60413645,note,Waits at Wellington for last Orange Line train
60413645,trip_type,wait
60413662,note,Waits at Malden Center for last Orange Line train
60413662,trip_type,wait
60413920,note,Waits at Wellington for last Orange Line train
60413920,trip_type,wait
60414241,note,Waits at Wellington for last Orange Line train
60414241,trip_type,wait
